date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,model_sha256,prediction_created_at_jst,odds_snapshot
2026-09-24,立川,10,102820260924,1790229960,1790229660,1142,near_close_v2_20260805,trifecta,3連単,1,3-2-1,0.12149335732602372,194.4,2262,True,2000,388800.0,386800.0,2000,45240.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-09-24T14:41:57+09:00,5-40 minutes before close
2026-09-24,立川,10,102820260924,1790229960,1790229660,1142,near_close_v2_20260805,trifecta,3連単,2,3-1-2,0.09091260743623675,144.6,1215,True,2000,289200.0,287200.0,2000,24300.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-09-24T14:41:57+09:00,5-40 minutes before close
