date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,model_sha256,prediction_created_at_jst,odds_snapshot
2026-09-24,別府,2,028620260924,1790235060,1790234760,2364,near_close_v2_20260805,quinella_place,ワイド,4,2-6,0.18630777602969165,29.0,440,True,700,20300.0,19600.0,700,3080.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-09-24T15:46:36+09:00,5-40 minutes before close
2026-09-24,別府,2,028620260924,1790235060,1790234760,2364,near_close_v2_20260805,quinella_place,ワイド,2,2-4,0.3610170290578964,14.3,416,True,1300,18590.0,17290.0,1300,5408.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-09-24T15:46:36+09:00,5-40 minutes before close
