strategy_version,bets_recorded,bets_total,bets_decided,bets_pending,bets_missing_official_payout,bets_excluded_after_close,bets_excluded_unknown_time,hits,hit_rate,stake_yen,return_yen,profit_yen,return_rate,roi
morning_odds_legacy_v1,214,212,212,0,0,2,0,12,0.05660377358490566,78400,25910,-52490,0.33048469387755103,-0.669515306122449
near_close_v2_20260805,56,56,56,0,0,0,0,3,0.05357142857142857,55900,1340,-54560,0.023971377459749553,-0.9760286225402505
