date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected,stake_yen,return_if_hit_yen,profit_if_hit_yen,loss_amount_yen,expected_profit_yen,purchase_authorized,authorization_reason,model_sha256,prediction_created_at_jst,odds_snapshot
2026-09-26,奈良,5,055320260926,1790428680,1790428380,1699,near_close_v2_20260805,quinella_place,ワイド,1,1-2,0.7741004256006809,5.5,326,True,4500,24750.0,20250.0,4500,14670.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-09-26T21:44:40+09:00,5-40 minutes before close
2026-09-26,奈良,5,055320260926,1790428680,1790428380,1699,near_close_v2_20260805,trifecta,3連単,1,1-2-4,0.1900640054626736,60.1,1042,True,3500,210350.0,206850.0,3500,36470.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-09-26T21:44:40+09:00,5-40 minutes before close
2026-09-26,奈良,5,055320260926,1790428680,1790428380,1699,near_close_v2_20260805,trifecta,3連単,2,2-1-4,0.12652851004902704,75.6,857,True,2000,151200.0,149200.0,2000,17140.0,False,external holdout ROI target was not met,02f306055c6d5e2aa86381af2f1bff6fb6d903971941dfd9ad4dfe47a943b6cd,2026-09-26T21:44:40+09:00,5-40 minutes before close
