date,venue,race_no,race_id,start_at,close_at,source_url,schedule_fetched_at_jst
2026-09-19,富山,8,084620260919,1789793940,1789793640,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/8,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,9,092120260919,1789795200,1789794900,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/9,2026-09-19T02:45:53+09:00
2026-09-19,富山,9,094620260919,1789796160,1789795860,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/9,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,10,102120260919,1789797300,1789797000,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/10,2026-09-19T02:45:53+09:00
2026-09-19,富山,10,104620260919,1789798380,1789798080,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/10,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,11,112120260919,1789799400,1789799100,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/11,2026-09-19T02:45:53+09:00
2026-09-19,富山,11,114620260919,1789800600,1789800300,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/11,2026-09-19T02:45:53+09:00
2026-09-19,静岡,1,013820260919,1789800900,1789800600,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/1,2026-09-19T02:45:53+09:00
2026-09-19,弥彦,12,122120260919,1789801560,1789801260,https://www.winticket.jp/keirin/yahiko/racecard/2026091921/1/12,2026-09-19T02:45:53+09:00
2026-09-19,松山,1,017520260919,1789801860,1789801560,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/1,2026-09-19T02:45:53+09:00
2026-09-19,静岡,2,023820260919,1789802400,1789802100,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/2,2026-09-19T02:45:53+09:00
2026-09-19,富山,12,124620260919,1789803000,1789802700,https://www.winticket.jp/keirin/toyama/racecard/2026091846/2/12,2026-09-19T02:45:53+09:00
2026-09-19,松山,2,027520260919,1789803420,1789803120,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/2,2026-09-19T02:45:53+09:00
2026-09-19,静岡,3,033820260919,1789803840,1789803540,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/3,2026-09-19T02:45:53+09:00
2026-09-19,松山,3,037520260919,1789804740,1789804440,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/3,2026-09-19T02:45:53+09:00
2026-09-19,静岡,4,043820260919,1789805280,1789804980,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/4,2026-09-19T02:45:53+09:00
2026-09-19,松山,4,047520260919,1789806060,1789805760,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/4,2026-09-19T02:45:53+09:00
2026-09-19,静岡,5,053820260919,1789806720,1789806420,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/5,2026-09-19T02:45:53+09:00
2026-09-19,松山,5,057520260919,1789807440,1789807140,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/5,2026-09-19T02:45:53+09:00
2026-09-19,静岡,6,063820260919,1789808160,1789807860,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/6,2026-09-19T02:45:53+09:00
2026-09-19,松山,6,067520260919,1789808880,1789808580,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/6,2026-09-19T02:45:53+09:00
2026-09-19,静岡,7,073820260919,1789809600,1789809300,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/7,2026-09-19T02:45:53+09:00
2026-09-19,松山,7,077520260919,1789810320,1789810020,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/7,2026-09-19T02:45:53+09:00
2026-09-19,静岡,8,083820260919,1789811040,1789810740,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/8,2026-09-19T02:45:53+09:00
2026-09-19,松山,8,087520260919,1789811760,1789811460,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/8,2026-09-19T02:45:53+09:00
2026-09-19,静岡,9,093820260919,1789812540,1789812240,https://www.winticket.jp/keirin/shizuoka/racecard/2026091838/2/9,2026-09-19T02:45:53+09:00
2026-09-19,松山,9,097520260919,1789813260,1789812960,https://www.winticket.jp/keirin/matsuyama/racecard/2026091975/1/9,2026-09-19T02:45:53+09:00
