date,venue,race_no,race_id,start_at,close_at,seconds_to_close_at_prediction,strategy_version,bet_type,bet_label,candidate_rank,buy,prob,odds_used,expected_profit_100yen,is_selected
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,5,3-4-2,0.06355780167797853,30.7,95,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,6,3-2-4,0.03547054675080111,15.4,-45,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,7,4-3-2,0.033016478897334535,36.2,20,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,8,4-1-3,0.03229484162803999,35.9,16,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,9,3-1-2,0.0317919458392997,51.2,63,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,10,1-4-3,0.029720055015606893,43.1,28,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,11,3-2-1,0.02368208130508781,16.1,-62,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,12,3-4-6,0.017442564219447218,48.7,-15,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,13,2-3-4,0.015292178608670349,33.1,-49,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,14,1-3-2,0.015198315213341758,72.3,10,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,15,2-3-1,0.010209896669672187,26.1,-73,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,16,4-3-6,0.009060918380792838,62.0,-44,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,17,4-2-3,0.009048985515322369,59.7,-46,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,18,3-6-4,0.008953394252439776,130.7,17,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,19,3-1-6,0.008724862130581006,95.1,-17,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,20,2-4-3,0.007509992171352154,62.0,-53,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,21,3-6-1,0.005977776777235491,150.6,-10,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,22,1-2-3,0.005092666345711539,54.0,-72,False
2026-09-26,弥彦,1,012120260926,1790423820,1790423520,775,near_close_v2_20260805,trifecta,3連単,23,2-1-3,0.004592703036941201,58.5,-73,False
